Rank,Player,Goals
260.0,Benjani,26.0
260.0,Roque Santa Cruz,26.0
260.0,Marcus Stewart,26.0
260.0,Steve Watson,26.0
260.0,David White,26.0
272.0,Andy Booth,25.0
272.0,Santi Cazorla,25.0
272.0,Jan Åge Fjørtoft,25.0
272.0,William Gallas,25.0
272.0,Francis Jeffers,25.0
272.0,Marc Overmars,25.0
272.0,Mick Quinn,25.0
272.0,Fabrizio Ravanelli,25.0
272.0,Mark Robins,25.0
272.0,Leroy Sané,25.0
272.0,Stéphane Sessegnon,25.0
272.0,Steve Stone,25.0
284.0,Ross Barkley,24.0
284.0,Shaun Bartlett,24.0
284.0,Chris Brunt,24.0
284.0,Michael Carrick,24.0
284.0,Julian Dicks,24.0
284.0,Garry Flitcroft,24.0
284.0,Grant Holt,24.0
284.0,Lomana Lua Lua,24.0
284.0,Luka Milivojevic,24.0
284.0,Scott Parker,24.0
284.0,Paul Pogba,24.0
284.0,Jason Puncheon,24.0
284.0,Kieran Richardson,24.0
284.0,Bryan Roy,24.0
284.0,Antonio Valencia,24.0
284.0,Rafael van der Vaart,24.0
284.0,Anthony Yeboah,24.0
301.0,Andrey Arshavin,23.0
301.0,Saido Berahino,23.0
301.0,Nathan Blake,23.0
301.0,Lee Chapman,23.0
301.0,Kevin De Bruyne,23.0
301.0,Rory Delap,23.0
301.0,Kieron Dyer,23.0
301.0,Darren Fletcher,23.0
301.0,Joleon Lescott,23.0
301.0,James McArthur,23.0
301.0,Szilard Nemeth,23.0
301.0,Graziano Pellè,23.0
301.0,Dan Petrescu,23.0
301.0,Laurent Robert,23.0
301.0,Junior Stanislas,23.0
301.0,Gordon Watson,23.0
317.0,Dean Ashton,22.0
317.0,Dalian Atkinson,22.0
317.0,Chris Bart-Williams,22.0
317.0,Alen Boksic,22.0
317.0,Michael Bridges,22.0
317.0,Deon Burton,22.0
317.0,Matt Elliott,22.0
317.0,Sami Hyypiä,22.0
317.0,Branislav Ivanovic,22.0
317.0,Laurent Koscielny,22.0
317.0,Mido,22.0
317.0,Mike Newell,22.0
317.0,Henrik Pedersen,22.0
317.0,Lee Sharpe,22.0
331.0,André Ayew,21.0
331.0,Mario Balotelli,21.0
331.0,Nacer Chadli,21.0
331.0,Oscar,21.0
331.0,Matthew Etherington,21.0
331.0,Dwight Gayle,21.0
331.0,David Ginola,21.0
331.0,Andre Gray,21.0
331.0,Stephen Hunt,21.0
331.0,Robert Huth,21.0
331.0,Danny Ings,21.0
331.0,Chris Kiwomya,21.0
331.0,Aleksandar Mitrovic,21.0
331.0,Nathan Redmond,21.0
331.0,Michael Ricketts,21.0
331.0,John Arne Riise,21.0
331.0,Paul Scharner,21.0
331.0,Xherdan Shaqiri,21.0
331.0,Steve Sidwell,21.0
331.0,Robert Snodgrass,21.0
331.0,Mark Stein,21.0
331.0,Gianluca Vialli,21.0
331.0,Georginio Wijnaldum,21.0
331.0,Chris Wood,21.0
355.0,Bradley Allen,20.0
355.0,Sol Campbell,20.0
355.0,Nigel Clough,20.0
355.0,Seamus Coleman,20.0
355.0,Hernán Crespo,20.0
355.0,Jason Dozzell,20.0
355.0,John Fashanu,20.0
355.0,Stelios Giannakopoulos,20.0
355.0,Matthew Jarvis,20.0
355.0,Claus Jensen,20.0
355.0,Collins John,20.0
355.0,Ivan Klasnic,20.0
355.0,Niko Kranjcar,20.0
355.0,Manuel Lanzini,20.0
355.0,James McFadden,20.0
355.0,Luke Moore,20.0
355.0,Victor Moses,20.0
355.0,Ray Parlour,20.0
355.0,Roman Pavlyuchenko,20.0
355.0,Stuart Pearce,20.0
355.0,Michu,20.0
355.0,Steven Pienaar,20.0
355.0,Tuncay Sanli,20.0
355.0,Robbie Savage,20.0
355.0,Dusan Tadic,20.0
355.0,Andros Townsend,20.0
381.0,Danny Dichio,19.0
381.0,Youri Djorkaeff,19.0
381.0,Ugo Ehiogu,19.0
381.0,Johan Elmander,19.0
381.0,Ricardo Fuller,19.0
381.0,Mick Harford,19.0
381.0,Craig Hignett,19.0
381.0,Stephen Ireland,19.0
381.0,Matt Jansen,19.0
381.0,Steven Naismith,19.0
381.0,Park Ji-Sung,19.0
381.0,Garry Parker,19.0
381.0,Lukas Podolski,19.0
381.0,Tomas Rosicky,19.0
381.0,Leonardo Ulloa,19.0
381.0,Boudewijn Zenden,19.0
397.0,David Bentley,18.0
397.0,Fraizer Campbell,18.0
397.0,Richarlison,18.0
397.0,Mohamed Diamé,18.0
397.0,Nathan Dyer,18.0
397.0,Kevin Gallen,18.0
397.0,Luis García,18.0
397.0,Danny Graham,18.0
397.0,Alf Inge Haaland,18.0
397.0,Denis Irwin,18.0
397.0,Phil Jagielka,18.0
397.0,Vincent Kompany,18.0
397.0,Fernandinho,18.0
397.0,Massimo Maccarone,18.0
397.0,Brian McClair,18.0
397.0,Álvaro Negredo,18.0
397.0,Diafra Sakho,18.0
397.0,Mike Sheron,18.0
397.0,Antoine Sibierski,18.0
